"redni broj"	"URL"	"thumb"	"koordinate "	"id. Broj"	"naziv djela"	"ime autora"	"prezime autora"	"godina nastanka"	"tehnika"	"format"	"vlasnik"	"link vlasnik"	"glavni narativ uz djelo )pojavljije se kao prvi pasus)"	"sekundarni narativ uz djelo, slijedi nakon prvog, služi obično da se povežu pojedine tačke"	"narativ za koji se veže. Ako ih ima više razdvojiti ih sa tačka zarez, npr: Miunović Milo;Boka kotorska; ovo se pojavljuje nakon teksta o jedinici "	"način pojavljivanja prilikom pretrage? Ovome je posvećena velia pažnja u ovoj probnoj aplikacij"	"kategorija"	"komentar uz link, tj. Informacija na što upućuje pošto se uvijek ne zaključuje iz linka. U U mapu ovo ide zajedno"	"Column4"
33			"42.257571,18.892799"	1002	"Ćikova glavica"	"Gojko"	"Berkuljan"	1951	"ulje na platnu"	"52,9x72,4"	"NMCG"		"Detaljna, skoro fotografski opisana je predstava obližnjeg uzvišenja, nedaleko od centra Cetinja. Nekoliko skromnih prizemnih kuća geometrijski tretiranih jednostavnim potezima, narušava „čupavost“ obližnjih krošnji, intenzivnih zelenih tonova. Topla svjetlost obavija čitavu kompoziciju."		"Gojko Berkuljan; Cetinje"				
36			"42.392716805406074, 18.90600707715328"	1003	"Humci "	"Gojko"	"Berkuljan"	1956	"ulje na platnu"	"108x88"	"NMCG"		"I ova slika nastala je u isto vrijeme, a glavni motiv je naselje na obodu Cetinja, sa pogledom na Lovćen. Predstavom dominira skoro mistična veličanstvenost planine koja se gorostasno uzdiže iznad naselja. Kao kontrateža su intenzivni tonovi naselja u podnožju, naglašeni akcentima crvene i zelene boje. "	"Ona ima poseban kulturno-istorijski značaj kao mjesto ne kome je sahranjena jedna od najznačajnijih ličnosti crnogorske istorije – Petar II Petrović Njegoš. Njena monumentalnost potencirana je masivnom sivom površinom dramatično realizovanom tako da se skoro može osjetiti čvrstina kamena. Čitava kompozicija odiše uzvišenošću i herojskom uzdržanošću i nosi snažnu simboliku. "	"Gojko Berkuljan; Cetinje"				
32			"42.38200989714357, 18.956276329670835"	1004	"Belveder"	"Gojko"	"Berkuljan"	1951	"ulje na platnu"	"48,5x68"	"NMCG"		"U vrijeme kada je formirana grupa „Trojica“ koju su činili Berkuljan, Aleksandar Aco Prijić i Branko Filipović Filo na pojedinim radovima može se zapaziti međusobni uticaj. Takav je primjer pogled na mjesto Belveder, nedaleko od Cetinja, sa kojeg se pruža veličanstvena panorama  Skadarskog jezera. Kolorit je i dalje oker – smeđi sa pojedinim tamnijim partijama, dok su forme znatno više apstrahovane. Djelo pripada tzv. „srebrnoj fazi“."		"Gojko Berkuljan; Cetinje"				
34			"42.387938,18.924905"	1005	"Cetinje"	"Gojko"	"Berkuljan"	1955	"ulje na platnu"	"52x73,6"	"NMCG"		"Sličan je kolorit kao na predstavi „Autobuske stanice“, s tim što je upečatljiviji ekspresionistički zanos. Rad predstavlja Gradsku kafanu, kultno mjesto za život grada tokom poslednje vijeka, smještenu na Dvorskom trgu. Dinamičnost predstave uspostavljena je preplitanjem kratkih poteza nasuprot uglačanoj fasadi objekta i vertikalama koje daju ravnotežu kompoziciji."	"U vrijeme vladavine kralja Nikole, kada je u gradu postojalo trinaest ambasada objekat je igrađen u svrhu Bugarskog poslanstva, a sagrađena je 1910. godine. "	"Gojko Berkuljan; Cetinje"				
15	"https://raw.githubusercontent.com/LazarPejovic/testiranje-za-exel-linkovi/refs/heads/main/1006_%C4%8Celebonovi%C4%87%20Marko%20Budva.jpg"		"42.277666079154386, 18.834839476297994"	1006	"Budva"	"Marko"	"Čelebonović"	1952	"ulje na platnu"	"72x92"	"NMCG"		"Motiv je prepoznatljivi pogled na gradske zidine iz pozicije plaže, dok se u daljini izdvajaju zvonik i ostrvo Sv. Nikola. "	"U njegovom stvaralaštvu mogu se prepoznati elementi stila francuskih umjetnika iz 1930-ih u kombinaciji sa balkanskim i orijentalnim uticajima, naročito u žestini upotrebe boje i uzdržanim gestovima. Takav primjer je i pejzaž iz Budve sa odlikama poetskog realizma, sa izrazitim sivo-zelenim koloritom i svjetlošću koja se rasipa po čitavoj kompoziciji. "	"Marko Čelebonović; Budva"				
133	"https://raw.githubusercontent.com/LazarPejovic/testiranje-za-exel-linkovi/refs/heads/main/1007_Duj%C5%A1in%20Ribar%20Cata%20Perast.jpg"		"42.486949,18.688651"	1007	"Perast"	"Cata"	"Dujšin Ribar "		"ulje na platnu"	"67,5 x 80,5"	"NMCG"		"Pogled na Perast iz barke. Dominira centralni dio naselja, dat u apstraktnom maniru bojenih geomterijskih polja koja se reflektuju na površinu vode. Pejzaž je sumarno naznačen bojom uglavnom sivih tonova, sa po nekim zelenim akcentom."		"Cata Dujšin Ribar; Perast"				
145	"https://raw.githubusercontent.com/LazarPejovic/testiranje-za-exel-linkovi/refs/heads/main/1008_%C4%90ur%C4%91e%20Teodorovi%C4%87%2C%20Kraj%20manastira%20Mora%C4%8De%20.jpg"		"42.76462231525652, 19.39070859263661"	1008	"Kraj manastira Morače"	"Đurđe"	"Teodorović"	1953	"ulje na platnu"	"95 x 140 "	"NMCG"		"Za razliku od slike Jutro nad Bokom ova kompozicija je bliža apstraktnijem tretmanu formi. Predstavom dominira most koji je uklopljen u planinski pejzaž, ali djeluje kao da je porušen u jednom dijelu. U prvom planu su prikazane naglašeno izdužene ženske figure predstavljene u nizu, koloristički uklopljene u ambijent, čime se djelimično potencira i dramatičnost predstave."		"Đurđe Teodorović; Podgorica"				
140	"https://raw.githubusercontent.com/LazarPejovic/testiranje-za-exel-linkovi/refs/heads/main/1009_%C4%90urovi%C4%87%20Niko%20Pavlova%20strana.jpg"		"42.364561,19.060142"	1009	"Pavlova  strana"	"Niko"	"Đurović"	1975	"pastel na papiru "	"70,5x 50 "	"NMCG"		"Romantizovana predstava pogleda na jedan od najimpresivnijih pejzaža na Skadarskom jezeru. Predstavljena kao bočni pogled na tok Rijeke Crnojevića odstupa od uobičajenog komponovanja. Prepoznatljivi Đurovićev kolorit primjetan je i na ovom radu u vidu apstrahovanog tretmana pejzaža i izrazito svijetlog, skoro jednoobraznog variranja sivih tonova. Predstava odiše mističnošću a magličasta, snena koprena kao da obavija kompoziciju. "		"Niko Đurović; Skadarsko jezero"				
143	"https://raw.githubusercontent.com/LazarPejovic/testiranje-za-exel-linkovi/refs/heads/main/1010_%C4%90urovi%C4%87_Niko_Usnuli%20grad_1976.jpg"		"42.323816939665846, 19.15776060342811"	1010	"Usnuli grad"	"Niko"	" Đurović"	1976	"olovka u boji na papiru"	"48,5x33"	"NMCG"		"Kompozicija sa motivom sa Skadarskog jezera i predstavom Žabljaka Crnojevića kao centralnim motivom, ukomponovanim u scenu punog mjeseca i cvjetovima lotosa. Dominantan kolorit je sivo oker sa mnoštvom detalja koji doprinose mističnosti predstave."		"Niko Đurović; Skadarsko jezero"				
142	"https://raw.githubusercontent.com/LazarPejovic/testiranje-za-exel-linkovi/refs/heads/main/1012_Jovan%20Zonji%C4%87%20Rije%C4%8Dki%20grad.jpg"		"42.353880,19.022779"	1012	"Riječki grad"	"Jovan"	"Zonjić"		"ulje na platnu"	"65,5 x 93,5"	"NMCG"		"Slika Riječki grad realizovana u dominantno sivim tonova, u vijugavim nanosima u kojima se prepliću prilazni put, fasade kuća i brda u pozadini i nebo. Tek po neki akcent poput crvenkastih krovova, tamnih otvora i oker-zelenkastih krošnji razbija sivilo. Svi elementi kao da su stopljeni, doprinoseći utisku prigušenosti atmosfere."	"Kolorit je sveden na nekoliko boja – uglavnom sive i smeđe u prigušenom skoro monohromnom tretmanu."	"Jovan Zonjić; Rijeka Crnojevića"				
